student_id,timestamp,component,context,event_name
SYN2023_001,2023-10-19 20:35:39,File,Datoteka: 6 - Learning material.pdf,Course module viewed
SYN2023_001,2023-10-20 14:09:22,Quiz,Test: 1,Quiz attempt viewed
SYN2023_001,2023-10-21 20:40:07,Assignment,Zadaća: 2,Submission status viewed
SYN2023_001,2023-10-21 20:54:19,Forum,Course forum,Discussion viewed
SYN2023_001,2023-10-22 22:51:42,Forum,Course forum,Discussion viewed
SYN2023_001,2023-10-27 19:40:23,File,Datoteka: 4 - Learning material.pdf,Course module viewed
SYN2023_001,2023-10-29 22:07:46,File,Datoteka: 4 - Learning material.pdf,Course module viewed
SYN2023_001,2023-10-30 13:58:15,Assignment,Zadaća: 1,Submission status viewed
SYN2023_001,2023-11-01 20:40:48,Quiz,Test: 3,Quiz attempt viewed
SYN2023_001,2023-11-02 16:15:42,File,Datoteka: 6 - Learning material.pdf,Course module viewed
SYN2023_001,2023-11-03 17:14:18,Forum,Course forum,Discussion viewed
SYN2023_001,2023-11-05 10:48:42,File,Datoteka: 2 - Learning material.pdf,Course module viewed
SYN2023_001,2023-11-05 14:35:25,Assignment,Zadaća: 1,Submission status viewed
SYN2023_001,2023-11-05 21:40:23,File,Datoteka: 2 - Learning material.pdf,Course module viewed
SYN2023_001,2023-11-06 21:37:26,File,Datoteka: 5 - Learning material.pdf,Course module viewed
SYN2023_001,2023-11-08 20:40:29,Assignment,Zadaća: 1,Assignment submitted
SYN2023_001,2023-11-14 12:41:12,Assignment,Zadaća: 1,Submission status viewed
SYN2023_001,2023-11-14 17:18:23,Forum,Course forum,Discussion viewed
SYN2023_001,2023-11-16 22:09:20,File,Datoteka: 6 - Learning material.pdf,Course module viewed
SYN2023_001,2023-11-21 15:27:42,Assignment,Zadaća: 3,Submission status viewed
SYN2023_001,2023-11-22 17:19:50,File,Datoteka: 4 - Learning material.pdf,Course module viewed
SYN2023_001,2023-11-24 20:29:50,Assignment,Zadaća: 3,Assignment submitted
SYN2023_001,2023-11-25 20:31:11,Assignment,Zadaća: 1,Submission status viewed
