all_activity_sum,session_Sum,mean_periodicity_h,median_periodicity_h,mode_periodicity_h,start_learning_before_exam_d,start_learning_before_exam_h,activities_during_learning,best_learning_window_activity_count,weekend_total,homework_time_total,homework_count_total,attempt_quizes_data_start_learning_date_count,time_diff_earliest_quiz_attempt_h,count_attempts_quiz,activity_Night,session_Night,activity_start_learning_before_exam_Night,activity_Morning,session_Morning,activity_start_learning_before_exam_Morning,activity_Afternoon,session_Afternoon,activity_start_learning_before_exam_Afternoon,activity_Evening,session_Evening,activity_start_learning_before_exam_Evening,activity_per_learning_day,activity_per_session,regularity_inverse_mean_periodicity,regularity_inverse_median_periodicity,learning_activity_ratio,student_id,year,learning_window_avg_pm10,activities_x_learning_window_avg_pm10,activity_per_day_x_learning_window_avg_pm10,sessions_x_learning_window_avg_pm10,regularity_x_learning_window_avg_pm10,learning_window_avg_pm2_5,activities_x_learning_window_avg_pm2_5,activity_per_day_x_learning_window_avg_pm2_5,sessions_x_learning_window_avg_pm2_5,regularity_x_learning_window_avg_pm2_5,learning_window_avg_tavg,activities_x_learning_window_avg_tavg,activity_per_day_x_learning_window_avg_tavg,sessions_x_learning_window_avg_tavg,regularity_x_learning_window_avg_tavg,learning_window_avg_tmin,activities_x_learning_window_avg_tmin,activity_per_day_x_learning_window_avg_tmin,sessions_x_learning_window_avg_tmin,regularity_x_learning_window_avg_tmin,learning_window_avg_tmax,activities_x_learning_window_avg_tmax,activity_per_day_x_learning_window_avg_tmax,sessions_x_learning_window_avg_tmax,regularity_x_learning_window_avg_tmax,learning_window_avg_prcp,activities_x_learning_window_avg_prcp,activity_per_day_x_learning_window_avg_prcp,sessions_x_learning_window_avg_prcp,regularity_x_learning_window_avg_prcp,learning_window_avg_snow,activities_x_learning_window_avg_snow,activity_per_day_x_learning_window_avg_snow,sessions_x_learning_window_avg_snow,regularity_x_learning_window_avg_snow,learning_window_avg_wdir,activities_x_learning_window_avg_wdir,activity_per_day_x_learning_window_avg_wdir,sessions_x_learning_window_avg_wdir,regularity_x_learning_window_avg_wdir,learning_window_avg_wspd,activities_x_learning_window_avg_wspd,activity_per_day_x_learning_window_avg_wspd,sessions_x_learning_window_avg_wspd,regularity_x_learning_window_avg_wspd,learning_window_avg_wpgt,activities_x_learning_window_avg_wpgt,activity_per_day_x_learning_window_avg_wpgt,sessions_x_learning_window_avg_wpgt,regularity_x_learning_window_avg_wpgt,learning_window_avg_pres,activities_x_learning_window_avg_pres,activity_per_day_x_learning_window_avg_pres,sessions_x_learning_window_avg_pres,regularity_x_learning_window_avg_pres,kolokvij1,Vjezbe
49.0,41.0,31.115,24.0,1.3,8.259803240740741,198.23527777777778,15.0,12.0,14.0,1327.2322222222224,7.0,1.0,1299.8438888888888,3.0,0.0,0.0,0.0,3.0,3.0,1.0,25.0,21.0,9.0,21.0,17.0,5.0,1.8160238885611513,0.36585365853658536,0.03113809746224506,0.04,0.30612244897959184,SYN2023_001,2023,33.27666666666667,499.1500000000001,60.431221598353254,1364.3433333333335,1.0361720898853084,14.68,220.2,26.6592306840777,601.88,0.4571072707457575,7.8933333333333335,118.4,14.334481893709354,323.62666666666667,0.245783382635321,4.096666666666667,61.45,7.43964453013885,167.96333333333334,0.12756240593699728,11.723333333333334,175.85000000000002,21.289853386898564,480.6566666666667,0.36504229591571963,1.4466666666666665,21.7,2.6271812254517988,59.313333333333325,0.04504644766204785,0.0,0.0,0.0,0.0,0.0,116.16666666666667,1742.5,210.96144172118707,4762.833333333334,3.6172089885308014,9.826666666666666,147.4,17.845461411594247,402.8933333333333,0.30598370439566147,15.733333333333334,236.0,28.572109180028782,645.0666666666667,0.48990606673932235,1016.3066666666667,15244.6,1845.6371847706218,41668.573333333334,31.645856038196072,16.95,8.41
47.0,40.0,33.328205128205134,17.9,1.8,7.3640625,176.7375,13.0,9.0,10.0,589.8208333333333,3.0,7.0,1035.14,11.0,0.0,0.0,0.0,7.0,7.0,2.0,32.0,26.0,10.0,8.0,7.0,1.0,1.765329938468067,0.325,0.029130564684792346,0.052910052910052914,0.2765957446808511,SYN2023_002,2023,33.27666666666667,432.5966666666667,58.74429591908905,1331.0666666666668,0.9693680908276068,14.68,190.84,25.915043496711224,587.2,0.42763668957275164,7.8933333333333335,102.61333333333333,13.934337647641275,315.73333333333335,0.22993725724529426,4.096666666666667,53.25666666666667,7.231968314590848,163.86666666666667,0.11933821332536598,11.723333333333334,152.40333333333334,20.695551311973972,468.9333333333334,0.34150731998804895,1.4466666666666665,18.806666666666665,2.55384397765047,57.86666666666666,0.042142216910666254,0.0,0.0,0.0,0.0,0.0,116.16666666666667,1510.1666666666667,205.07249451870712,4646.666666666667,3.3840005975500445,9.826666666666666,127.74666666666666,17.34730886201287,393.06666666666666,0.2862563489692261,15.733333333333334,204.53333333333336,27.77452436523092,629.3333333333334,0.45832088437406626,1016.3066666666667,13211.986666666668,1794.116585331353,40652.26666666667,29.605587092919027,11.3,5.26
85.0,52.0,24.927450980392155,8.9,1.1,5.282743055555556,126.78583333333333,36.0,36.0,35.0,1123.970277777778,6.0,8.0,407.25916666666666,10.0,0.0,0.0,0.0,2.0,2.0,1.0,43.0,28.0,18.0,40.0,22.0,17.0,6.814641488599541,0.6923076923076923,0.03856915979732285,0.10101010101010101,0.4235294117647059,SYN2023_003,2023,33.27666666666667,1197.96,226.7685532689641,1730.3866666666668,1.2834530741889136,14.68,528.48,100.03893705264126,763.36,0.5661952658246995,7.8933333333333335,284.16,53.79023681667905,410.4533333333333,0.3044392346668684,4.096666666666667,147.48,27.917314631629456,213.02666666666667,0.1580049913030326,11.723333333333334,422.04,79.89031371801529,609.6133333333333,0.4521591166906149,1.4466666666666665,52.08,9.85851468684067,75.22666666666666,0.055796717840127054,0.0,0.0,0.0,0.0,0.0,116.16666666666667,4182.0,791.6341862589801,6040.666666666667,4.480450729789005,9.826666666666666,353.76,66.96521036130483,510.9866666666666,0.37900627694169253,15.733333333333334,566.4000000000001,107.21702608729946,818.1333333333334,0.6068214474778796,1016.3066666666667,36587.04,6925.765575806971,52847.94666666667,39.1980942297512,17.49,10.0
70.0,53.0,24.865384615384617,9.25,0.9,2.2822916666666666,54.775,7.0,21.0,19.0,1097.9127777777778,7.0,3.0,1320.8825,12.0,0.0,0.0,0.0,5.0,5.0,1.0,30.0,23.0,4.0,35.0,25.0,2.0,3.0670926517571884,0.1320754716981132,0.03866171003717472,0.0975609756097561,0.1,SYN2023_004,2023,33.175,232.22499999999997,101.75079872204472,1758.2749999999999,1.2826022304832712,14.129999999999999,98.91,43.338019169329066,748.89,0.5462899628252788,6.695,46.865,20.534185303514377,354.83500000000004,0.2588401486988847,2.285,15.995000000000001,7.008306709265176,121.105,0.08834200743494423,10.344999999999999,72.41499999999999,31.72907348242811,548.285,0.3999553903345724,1.765,12.354999999999999,5.4134185303514375,93.545,0.06823791821561337,0.0,0.0,0.0,0.0,0.0,107.26500000000001,750.8550000000001,328.9916932907349,5685.045000000001,4.147048327137546,10.98,76.86,33.67667731629393,581.94,0.4245055762081784,18.105,126.735,55.5297124600639,959.565,0.6999702602230483,1009.985,7069.895,3097.717571884984,53529.205,39.04774721189591,16.59,8.87
60.0,52.0,25.362745098039216,19.4,2.9,1.2539583333333333,30.095,6.0,10.0,12.0,634.7716666666666,7.0,0.0,1247.7033333333334,7.0,0.0,0.0,0.0,5.0,5.0,1.0,41.0,35.0,4.0,14.0,12.0,1.0,4.784847981392258,0.11538461538461539,0.0379323168464113,0.04901960784313726,0.1,SYN2023_005,2023,35.02,210.12,167.5653763083569,1821.0400000000002,1.328389735961324,21.68,130.07999999999998,103.73550423658416,1127.36,0.822372629230197,7.61,45.660000000000004,36.412693138395085,395.72,0.28866493120119,3.27,19.62,15.646452899152685,170.04,0.12403867608776496,10.25,61.5,49.044691809270645,533.0,0.38880624767571587,3.53,21.18,16.890513374314672,183.56,0.1339010784678319,0.0,0.0,0.0,0.0,0.0,131.55,789.3000000000001,629.4467519521517,6840.6,4.989996281145407,11.94,71.64,57.13108489782356,620.88,0.45291186314615095,20.39,122.34,97.56305034058815,1060.28,0.7734399404983265,1011.85,6071.1,4841.548429971756,52616.200000000004,38.38181480104128,20.31,6.1
58.0,49.0,27.020833333333332,17.0,2.1,7.20275462962963,172.8661111111111,10.0,9.0,12.0,2207.5074999999997,2.0,6.0,691.0172222222222,10.0,0.0,0.0,0.0,1.0,1.0,0.0,37.0,30.0,3.0,20.0,18.0,7.0,1.3883577206508568,0.20408163265306123,0.035687732342007436,0.05555555555555555,0.1724137931034483,SYN2023_006,2023,33.27666666666667,332.7666666666667,46.19991708419168,1630.5566666666668,1.1875687732342008,14.68,146.8,20.38109133915458,719.3199999999999,0.5238959107806691,7.8933333333333335,78.93333333333334,10.958770275004097,386.77333333333337,0.2816951672862454,4.096666666666667,40.96666666666667,5.6876387955996766,200.73666666666668,0.1462007434944238,11.723333333333334,117.23333333333335,16.27618034509688,574.4433333333334,0.4183791821561339,1.4466666666666665,14.466666666666665,2.008490835874906,70.88666666666666,0.05162825278810409,0.0,0.0,0.0,0.0,0.0,116.16666666666667,1161.6666666666667,161.28088854894122,5692.166666666667,4.145724907063197,9.826666666666666,98.26666666666667,13.642928534929085,481.50666666666666,0.35069144981412637,15.733333333333334,157.33333333333334,21.843494804906815,770.9333333333334,0.5614869888475837,1016.3066666666667,10163.066666666668,1410.9972072156036,49799.02666666667,36.26968029739777,21.65,5.9
30.0,29.0,45.564285714285724,20.55,1.5,16.196284722222224,388.71083333333337,7.0,4.0,10.0,1002.7669444444444,4.0,1.0,1271.3702777777778,3.0,0.0,0.0,0.0,5.0,5.0,0.0,16.0,16.0,5.0,9.0,8.0,2.0,0.432197884888724,0.2413793103448276,0.021475686454977754,0.04640371229698376,0.23333333333333334,SYN2023_007,2023,33.27666666666667,232.9366666666667,14.382104949480441,965.0233333333334,0.7146392596001432,14.68,102.75999999999999,6.344664950166468,425.71999999999997,0.3152630771590734,7.8933333333333335,55.25333333333334,3.411481971388328,228.90666666666667,0.16951475175129108,4.096666666666667,28.676666666666666,1.7705706684274727,118.80333333333333,0.0879787288438922,11.723333333333334,82.06333333333335,5.066799870512142,339.9766666666667,0.2517666308738559,1.4466666666666665,10.126666666666665,0.6252462734723541,41.95333333333333,0.031068159738201147,0.0,0.0,0.0,0.0,0.0,116.16666666666667,813.1666666666667,50.20698762790678,3368.8333333333335,2.494758909853249,9.826666666666666,68.78666666666666,4.2470645488398615,284.9733333333333,0.2110344122309147,15.733333333333334,110.13333333333334,6.799913388915925,456.2666666666667,0.3378841335583167,1016.3066666666667,7114.146666666667,439.24559173164283,29472.893333333333,21.825883315436926,10.8,7.82
41.0,37.0,34.81111111111112,17.95,2.6,8.001539351851852,192.03694444444443,12.0,8.0,12.0,864.0780555555555,4.0,5.0,939.2255555555555,8.0,0.0,0.0,0.0,7.0,7.0,2.0,27.0,23.0,6.0,7.0,7.0,4.0,1.49971142705469,0.32432432432432434,0.027924294135898226,0.052770448548812667,0.2926829268292683,SYN2023_008,2023,33.27666666666667,399.32000000000005,49.90539725428991,1231.236666666667,0.9292274278622401,14.68,176.16,22.01576374916285,543.16,0.40992863791498596,7.8933333333333335,94.72,11.837722197551686,292.05333333333334,0.22041576171269,4.096666666666667,49.16,6.143817812834047,151.57666666666665,0.11439652497672972,11.723333333333334,140.68,17.58161696317115,433.7633333333334,0.32736580825318023,1.4466666666666665,17.36,2.169582531139118,53.526666666666664,0.04039714551659943,0.0,0.0,0.0,0.0,0.0,116.16666666666667,1394.0,174.21647744285318,4298.166666666667,3.243872168786844,9.826666666666666,117.91999999999999,14.73716428985742,363.58666666666664,0.27440273037542656,15.733333333333334,188.8,23.59545978566046,582.1333333333333,0.4393422277381321,1016.3066666666667,12195.68,1524.166721391862,37603.34666666667,28.379646292274273,12.89,6.43
45.0,43.0,30.383333333333333,24.35,4.4,7.233032407407407,173.59277777777777,6.0,9.0,10.0,807.9024999999999,4.0,5.0,1185.763888888889,6.0,0.0,0.0,0.0,9.0,9.0,1.0,23.0,22.0,3.0,13.0,12.0,2.0,0.8295275981143609,0.13953488372093023,0.03186404673393521,0.03944773175542406,0.13333333333333333,SYN2023_009,2023,33.27666666666667,199.66000000000003,27.603913373252222,1430.8966666666668,1.0603292618162508,14.68,88.08,12.177465140318818,631.24,0.4677642060541689,7.8933333333333335,47.36,6.547737841116023,339.41333333333336,0.25151354221986194,4.096666666666667,24.58,3.3982980602751653,176.15666666666667,0.13053637812002125,11.723333333333334,70.34,9.724828541894025,504.1033333333334,0.3735528412108338,1.4466666666666665,8.68,1.2000499252721086,62.20666666666666,0.046096654275092935,0.0,0.0,0.0,0.0,0.0,116.16666666666667,697.0,96.3634559809516,4995.166666666667,3.7015400955921405,9.826666666666666,58.959999999999994,8.151491197470452,422.5466666666666,0.31311736590547,15.733333333333334,94.4,13.051234210332613,676.5333333333334,0.501327668613914,1016.3066666666667,6097.84,843.0544281476125,43701.18666666667,32.38364312267658,11.04,6.88
50.0,35.0,29.773529411764706,6.4,1.1,1.452048611111111,34.84916666666666,7.0,17.0,16.0,338.38694444444445,8.0,5.0,959.0230555555555,10.0,0.0,0.0,0.0,8.0,8.0,2.0,24.0,15.0,1.0,18.0,12.0,4.0,4.820775245701714,0.2,0.032495460193061265,0.13513513513513511,0.14,SYN2023_010,2023,35.02,245.14000000000001,168.82354910447404,1225.7,1.1379910159610056,21.68,151.76,104.51440732681317,758.8,0.7045015769855683,7.61,53.27,36.68609961979005,266.35,0.24729045206919623,3.27,22.89,15.763935053444605,114.45,0.10626015483131034,10.25,71.75,49.412946268442575,358.75,0.333078466978878,3.53,24.709999999999997,17.01733661732705,123.55,0.11470897448150626,0.0,0.0,0.0,0.0,0.0,131.55,920.8500000000001,634.1729835720606,4604.25,4.27477778839721,11.94,83.58,57.56005643367847,417.9,0.3879957947051515,20.39,142.73000000000002,98.29560725985796,713.65,0.6625824333365192,1011.85,7082.95,4877.90143236328,35414.75,32.88053139634904,15.87,9.88
